id	director_name	actor_2_name	genres	actor_1_name	movie_title	actor_3_name	plot_keywords	movie_imdb_link	language	country	imdb_score	genre_action	genre_adventure	genre_animation	genre_biography	genre_comedy	genre_crime	genre_documentary	genre_drama	genre_family	genre_fantasy	genre_film-noir	genre_history	genre_horror	genre_music	genre_musical	genre_mystery	genre_romance	genre_sci-fi	genre_sport	genre_thriller	genre_war	genre_western	adj_imdb_score	adj_title_year	adj_budget	adj_director_facebook_likes	adj_duration	adj_cast_total_facebook_likes	adj_content_rating	adj_num_voted_users
tt5574490		Daniella Alonso	Crime|Drama	Dorian Missick	Animal Kingdom	Ellen Barkin	based on film|brother brother relationship|crime family|remake|southern california	http://www.imdb.com/title/tt5574490/?ref_=fn_tt_tt_1	English	USA	8.1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8099999999999999	0.8426966292134831	0.0	0.0	0.11741682974559685	0.004607677432125835	1.0	0.002173676324031048
tt5215952	Hong-jin Na	Jun Kunimura	Fantasy|Horror|Mystery|Thriller	Jung-min Hwang	The Wailing	Woo-hee Chun	policeman|stranger|supernatural|village|vomiting	http://www.imdb.com/title/tt5215952/?ref_=fn_tt_tt_1	Korean	South Korea	7.7	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0.77	1.0	0.0	0.0018695652173913047	0.30528375733855184	7.61347890304996e-05	1.0	0.0014078889122978119
tt5116280		Ash Cook	Drama|Thriller	James Nesbitt	The Secret	Genevieve O'Reilly	adultery|baptist church|dentist|double murder|tv mini series	http://www.imdb.com/title/tt5116280/?ref_=fn_tt_tt_1	English	UK	7.3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.73	0.8426966292134831	0.0	0.0	0.08806262230919765	0.0021211152223897193	1.0	0.00038644449757480926
tt5078326	Thomas Lilti	Félix Moati	Comedy|Drama	François Cluzet	Irreplaceable	Marianne Denicourt	doctor|hospital|mayor|no opening credits|title at the end	http://www.imdb.com/title/tt5078326/?ref_=fn_tt_tt_1	French	France	7.2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.72	1.0	0.0	0.0005217391304347826	0.19960861056751467	0.0008420507666773256	1.0	0.00023020966241439633
tt5001130	Charles Ferguson	Jerry Brown	Documentary	Jane Goodall	Time to Choose	Peter Agnefjall		http://www.imdb.com/title/tt5001130/?ref_=fn_tt_tt_1	English	USA	7.0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7	0.9887640449438202	0.0002865212230363063	0.0050869565217391294	0.19569471624266144	3.6544698734639804e-05	1.0	4.438489635239004e-05
tt4939066	John H. Lee	Dean Dawson	Action|Drama|History|War	Liam Neeson	Operation Chromite	Jung-jae Lee		http://www.imdb.com/title/tt4939066/?ref_=fn_tt_tt_1	English	South Korea	6.8	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0.6799999999999999	1.0	0.0010331136670623387	0.0013913043478260868	0.22504892367906065	0.02152025946736101	1.0	5.326187562286805e-05
tt4877736		Megan Hilty	Comedy|Drama|Horror|Sci-Fi|Thriller	Danny Pino	BrainDead	Zach Grenier	brains|exploding head|politician|swarm behavior|washington d.c.	http://www.imdb.com/title/tt4877736/?ref_=fn_tt_tt_1	English	USA	7.9	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0.79	0.8426966292134831	0.0	0.0	0.08610567514677102	0.002361701155726097	1.0	0.0017446223259579446
tt4871980	Bille Woodruff	Brandy Norwood	Comedy|Romance	Donald Faison	The Perfect Match	Lauren London		http://www.imdb.com/title/tt4871980/?ref_=fn_tt_tt_1	English	USA	4.5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.45	1.0	0.00040931603290900897	0.001	0.18786692759295495	0.0054086154127266925	0.9444444444444444	0.0006983223692776032
tt4824308	Harold Cronk	Robin Givens	Drama	Benjamin A. Onyango	God's Not Dead 2	Maria Canals-Barrera	alternate universe|christian|christian film|christianity|manipulation	http://www.imdb.com/title/tt4824308/?ref_=fn_tt_tt_1	English	USA	3.4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.34	1.0	0.00040931603290900897	0.0007826086956521741	0.2348336594911937	0.002756079362904085	0.4444444444444444	0.002663685579761434
tt4786282	David F. Sandberg	Amiah Miller	Horror	Billy Burke	Lights Out	Gabriel Bateman	based on short film|reference to avenged sevenfold|reference to slayer|switching lights on and off|two word title	http://www.imdb.com/title/tt4786282/?ref_=fn_tt_tt_1	English	USA	6.9	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.6900000000000001	1.0	0.00040112971225082886	0.0011304347826086956	0.15851272015655574	0.005091894690359813	0.7222222222222222	0.00800289271164494
